Deal_ID,Region,Customer_Segment,Deal_Stage,Lead_Source,Engagement_Score,Deal_Creation_Date,Deal_Closure_Date,Deal_Size,MRR,ARR,Salesperson
OPP-1,EMEA,Enterprise,Qualified,Inbound,3.01,2023-04-15,2023-07-29,78365.61,6530.47,78365.61,EMEA-Enterprise-2
OPP-2,EMEA,Enterprise,Qualified,Inbound,3.09,2024-09-08,2024-03-14,75429.55,6285.8,75429.55,EMEA-Enterprise-3
OPP-3,EMEA,Enterprise,Negotiation,Outbound,5.04,2023-10-12,,82961.18,6913.43,82961.18,EMEA-Enterprise-2
OPP-4,EMEA,Enterprise,Closed Won,Partner,4.06,2023-06-09,2024-12-21,40389.93,3365.83,40389.93,EMEA-Enterprise-2
OPP-5,EMEA,Enterprise,Proposal Sent,Outbound,4.1,2023-09-28,,46132.62,3844.39,46132.62,EMEA-Enterprise-2
OPP-6,EMEA,Enterprise,Proposal Sent,Marketing Campaign,4.41,2024-07-19,2025-02-10,83783.91,6981.99,83783.91,EMEA-Enterprise-1
OPP-7,EMEA,Enterprise,Negotiation,Inbound,3.05,2023-10-24,,74641.13,6220.09,74641.13,EMEA-Enterprise-2
OPP-8,EMEA,Enterprise,Closed Won,Outbound,5.08,2024-01-09,2025-01-28,91319.06,7609.92,91319.06,EMEA-Enterprise-3
OPP-9,EMEA,Enterprise,Qualified,Marketing Campaign,6.83,2024-09-15,2024-06-16,52570.42,4380.87,52570.42,EMEA-Enterprise-2
OPP-10,EMEA,Enterprise,Proposal Sent,Marketing Campaign,6.76,2024-07-24,2024-11-26,49804.15,4150.35,49804.15,EMEA-Enterprise-2
OPP-11,EMEA,Enterprise,Negotiation,Inbound,1.29,2023-11-20,2023-06-16,90571.12,7547.59,90571.12,EMEA-Enterprise-1
OPP-12,EMEA,Enterprise,Closed Won,Event,3.83,2024-11-02,2025-08-28,52658.97,4388.25,52658.97,EMEA-Enterprise-3
OPP-13,EMEA,Enterprise,Qualified,Partner,5.85,2024-08-21,2025-04-28,48572.3,4047.69,48572.3,EMEA-Enterprise-2
OPP-14,EMEA,Enterprise,Closed Lost,Inbound,5.44,2023-02-18,,61719.79,5143.32,61719.79,EMEA-Enterprise-2
OPP-15,EMEA,Enterprise,Qualified,Partner,6.37,2024-01-30,2025-09-16,49170.48,4097.54,49170.48,EMEA-Enterprise-3
